mapping_id,fos_sheet,fos_sector,fos_product_group,fos_product_type,suggested_fca_product_group,suggestion_basis,review_decision,approved_fca_product_group,reviewer,reviewed_at,review_comment
FOS-A9F0BFBF12,Pensions,Pensions and Annuities,Additional Voluntary Contributions including FSAVCs,AVC (Additional Voluntary Contributions) provided by OPS,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-DA0716DCB1,Pensions,Pensions and Annuities,Additional Voluntary Contributions including FSAVCs,FSAVC (Free Standing Additional Voluntary Contributions),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-5824785DE3,Pensions,Pensions and Annuities,Annuities,Conventional Annuities,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-83C0C775CC,Pensions,Pensions and Annuities,Annuities,Enhanced or Impaired life annuities,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-9350E58273,Pensions,Pensions and Annuities,Occupational Pension Schemes,Defined Benefit transfer (Not to SIPP),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-B4E5952D89,Pensions,Pensions and Annuities,Occupational Pension Schemes,Defined Contribution transfer (Not to SIPP),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-E052DA9A0A,Pensions,Pensions and Annuities,Occupational Pension Schemes,EPP (Executive Pension Plans),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-2FEFECCE4C,Pensions,Pensions and Annuities,Occupational Pension Schemes,SSAS (Small Self Administered Schemes),decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-88E42A7FEF,Pensions,Pensions and Annuities,Occupational Pension Schemes,Transfer between two OPS,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
FOS-63ACD124E8,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),Pension Mortgages,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-910F1DAEB3,Pensions,Pensions and Annuities,Private Pensions (not SIPPs),Pension Term Assurance,decumulation_and_pensions,pension_or_annuity_keyword,pending_review,,,,
